weight	variant	digit	glyph	advance	lsb	y_min	y_max
400.0	pnum	6	six.lf	484	31	-16	643
400.0	pnum	7	seven.lf	484	20	-32	626
400.0	pnum	8	eight.lf	472	55	-14	630
400.0	pnum	9	nine.lf	484	43	-31	629
400.0	lnum+tnum	0	zero	480	45	-14	630
400.0	lnum+tnum	1	one	480	92	-3	637
400.0	lnum+tnum	2	two	480	32	-3	630
400.0	lnum+tnum	3	three	480	50	-38	630
400.0	lnum+tnum	4	four	480	19	-3	642
400.0	lnum+tnum	5	five	480	72	-38	628
400.0	lnum+tnum	6	six	480	47	-16	643
400.0	lnum+tnum	7	seven	480	36	-32	626
400.0	lnum+tnum	8	eight	480	65	-14	630
400.0	lnum+tnum	9	nine	480	53	-31	629
400.0	onum+tnum	0	zero.tosf	480	24	-14	414
400.0	onum+tnum	1	one.tosf	480	106	-3	406
400.0	onum+tnum	2	two.tosf	480	59	-4	414
400.0	onum+tnum	3	three.tosf	480	86	-190	413
400.0	onum+tnum	4	four.tosf	480	15	-181	421
400.0	onum+tnum	5	five.tosf	480	106	-189	415
400.0	onum+tnum	6	six.tosf	480	41	-14	641
400.0	onum+tnum	7	seven.tosf	480	31	-193	407
400.0	onum+tnum	8	eight.tosf	480	60	-13	589
400.0	onum+tnum	9	nine.tosf	480	45	-186	414
400.0	lnum+pnum	0	zero.lf	506	48	-14	630
400.0	lnum+pnum	1	one.lf	382	36	-3	637
400.0	lnum+pnum	2	two.lf	505	36	-3	630
400.0	lnum+pnum	3	three.lf	480	40	-38	630
400.0	lnum+pnum	4	four.lf	500	19	-3	642
400.0	lnum+pnum	5	five.lf	480	52	-38	628
400.0	lnum+pnum	6	six.lf	484	31	-16	643
400.0	lnum+pnum	7	seven.lf	484	20	-32	626
400.0	lnum+pnum	8	eight.lf	472	55	-14	630
400.0	lnum+pnum	9	nine.lf	484	43	-31	629
400.0	onum+pnum	0	zero.osf	507	40	-15	413
400.0	onum+pnum	1	one.osf	289	25	-3	406
400.0	onum+pnum	2	two.osf	440	40	-4	414
400.0	onum+pnum	3	three.osf	372	36	-190	413
400.0	onum+pnum	4	four.osf	492	21	-181	421
400.0	onum+pnum	5	five.osf	359	52	-189	415
400.0	onum+pnum	6	six.osf	489	41	-14	641
400.0	onum+pnum	7	seven.osf	460	24	-193	407
400.0	onum+pnum	8	eight.osf	452	55	-13	589
400.0	onum+pnum	9	nine.osf	466	41	-186	414
500	default	0	zero	497	38	-14	630
500	default	1	one	497	95	-3	637
500	default	2	two	497	42	-3	630
500	default	3	three	497	58	-38	630
500	default	4	four	497	19	-3	642
500	default	5	five	497	76	-38	629
500	default	6	six	497	53	-15	642
500	default	7	seven	497	36	-31	627
500	default	8	eight	497	63	-14	630
500	default	9	nine	497	54	-38	629
500	lnum	0	zero	497	38	-14	630
500	lnum	1	one	497	95	-3	637
500	lnum	2	two	497	42	-3	630
500	lnum	3	three	497	58	-38	630
500	lnum	4	four	497	19	-3	642
500	lnum	5	five	497	76	-38	629
500	lnum	6	six	497	53	-15	642
500	lnum	7	seven	497	36	-31	627
500	lnum	8	eight	497	63	-14	630
500	lnum	9	nine	497	54	-38	629
500	tnum	0	zero	497	38	-14	630
500	tnum	1	one	497	95	-3	637
500	tnum	2	two	497	42	-3	630
500	tnum	3	three	497	58	-38	630
500	tnum	4	four	497	19	-3	642
500	tnum	5	five	497	76	-38	629
500	tnum	6	six	497	53	-15	642
500	tnum	7	seven	497	36	-31	627
500	tnum	8	eight	497	63	-14	630
500	tnum	9	nine	497	54	-38	629
500	onum	0	zero.tosf	497	31	-14	420
500	onum	1	one.tosf	497	106	-4	413
500	onum	2	two.tosf	497	56	-4	421
500	onum	3	three.tosf	497	87	-186	420
500	onum	4	four.tosf	497	16	-181	427
500	onum	5	five.tosf	497	107	-185	422
500	onum	6	six.tosf	497	48	-14	640
500	onum	7	seven.tosf	497	34	-193	416
500	onum	8	eight.tosf	497	58	-13	589
500	onum	9	nine.tosf	497	41	-203	420
500	pnum	0	zero.lf	533	49	-14	630
500	pnum	1	one.lf	387	34	-3	637
500	pnum	2	two.lf	513	38	-3	630
500	pnum	3	three.lf	476	38	-38	630
500	pnum	4	four.lf	523	19	-3	642
500	pnum	5	five.lf	470	46	-38	629
500	pnum	6	six.lf	498	32	-15	642
500	pnum	7	seven.lf	506	21	-31	627
500	pnum	8	eight.lf	500	56	-14	630
500	pnum	9	nine.lf	505	44	-38	629
500	lnum+tnum	0	zero	497	38	-14	630
500	lnum+tnum	1	one	497	95	-3	637
500	lnum+tnum	2	two	497	42	-3	630
500	lnum+tnum	3	three	497	58	-38	630
500	lnum+tnum	4	four	497	19	-3	642
500	lnum+tnum	5	five	497	76	-38	629
500	lnum+tnum	6	six	497	53	-15	642
500	lnum+tnum	7	seven	497	36	-31	627
500	lnum+tnum	8	eight	497	63	-14	630
500	lnum+tnum	9	nine	497	54	-38	629
500	onum+tnum	0	zero.tosf	497	31	-14	420
500	onum+tnum	1	one.tosf	497	106	-4	413
500	onum+tnum	2	two.tosf	497	56	-4	421
500	onum+tnum	3	three.tosf	497	87	-186	420
500	onum+tnum	4	four.tosf	497	16	-181	427
500	onum+tnum	5	five.tosf	497	107	-185	422
500	onum+tnum	6	six.tosf	497	48	-14	640
500	onum+tnum	7	seven.tosf	497	34	-193	416
500	onum+tnum	8	eight.tosf	497	58	-13	589
500	onum+tnum	9	nine.tosf	497	41	-203	420
500	lnum+pnum	0	zero.lf	533	49	-14	630
500	lnum+pnum	1	one.lf	387	34	-3	637
500	lnum+pnum	2	two.lf	513	38	-3	630
500	lnum+pnum	3	three.lf	476	38	-38	630
500	lnum+pnum	4	four.lf	523	19	-3	642
500	lnum+pnum	5	five.lf	470	46	-38	629
500	lnum+pnum	6	six.lf	498	32	-15	642
500	lnum+pnum	7	seven.lf	506	21	-31	627
500	lnum+pnum	8	eight.lf	500	56	-14	630
500	lnum+pnum	9	nine.lf	505	44	-38	629
500	onum+pnum	0	zero.osf	509	36	-15	420
500	onum+pnum	1	one.osf	306	24	-4	413
500	onum+pnum	2	two.osf	453	32	-4	421
500	onum+pnum	3	three.osf	381	31	-186	420
500	onum+pnum	4	four.osf	506	20	-181	427
500	onum+pnum	5	five.osf	363	44	-185	422
500	onum+pnum	6	six.osf	496	38	-14	640
500	onum+pnum	7	seven.osf	476	22	-193	416
500	onum+pnum	8	eight.osf	470	51	-13	589
500	onum+pnum	9	nine.osf	494	35	-203	420
600	default	0	zero	513	32	-14	631
600	default	1	one	513	97	-3	636
600	default	2	two	513	50	-4	630
600	default	3	three	513	64	-38	629
600	default	4	four	513	21	-3	642
600	default	5	five	513	80	-38	629
600	default	6	six	513	60	-15	640
600	default	7	seven	513	37	-30	627
600	default	8	eight	513	62	-13	629
600	default	9	nine	513	54	-44	629
600	lnum	0	zero	513	32	-14	631
600	lnum	1	one	513	97	-3	636
600	lnum	2	two	513	50	-4	630
600	lnum	3	three	513	64	-38	629
600	lnum	4	four	513	21	-3	642
600	lnum	5	five	513	80	-38	629
600	lnum	6	six	513	60	-15	640
600	lnum	7	seven	513	37	-30	627
600	lnum	8	eight	513	62	-13	629
600	lnum	9	nine	513	54	-44	629
600	tnum	0	zero	513	32	-14	631
600	tnum	1	one	513	97	-3	636
600	tnum	2	two	513	50	-4	630
600	tnum	3	three	513	64	-38	629
600	tnum	4	four	513	21	-3	642
600	tnum	5	five	513	80	-38	629
600	tnum	6	six	513	60	-15	640
600	tnum	7	seven	513	37	-30	627
600	tnum	8	eight	513	62	-13	629
600	tnum	9	nine	513	54	-44	629
600	onum	0	zero.tosf	513	37	-14	426
600	onum	1	one.tosf	513	107	-4	419
600	onum	2	two.tosf	513	54	-4	427
600	onum	3	three.tosf	513	87	-182	426
600	onum	4	four.tosf	513	16	-181	432
600	onum	5	five.tosf	513	107	-181	429
600	onum	6	six.tosf	513	54	-14	639
600	onum	7	seven.tosf	513	37	-193	425
600	onum	8	eight.tosf	513	56	-13	590
600	onum	9	nine.tosf	513	36	-219	426
600	pnum	0	zero.lf	558	50	-14	631
600	pnum	1	one.lf	391	33	-3	636
600	pnum	2	two.lf	520	40	-4	630
600	pnum	3	three.lf	473	36	-38	629
600	pnum	4	four.lf	543	20	-3	642
600	pnum	5	five.lf	460	40	-38	629
600	pnum	6	six.lf	510	34	-15	640
600	pnum	7	seven.lf	526	23	-30	627
600	pnum	8	eight.lf	524	57	-13	629
600	pnum	9	nine.lf	523	44	-44	629
600	lnum+tnum	0	zero	513	32	-14	631
600	lnum+tnum	1	one	513	97	-3	636
600	lnum+tnum	2	two	513	50	-4	630
600	lnum+tnum	3	three	513	64	-38	629
600	lnum+tnum	4	four	513	21	-3	642
600	lnum+tnum	5	five	513	80	-38	629
600	lnum+tnum	6	six	513	60	-15	640
600	lnum+tnum	7	seven	513	37	-30	627
600	lnum+tnum	8	eight	513	62	-13	629
600	lnum+tnum	9	nine	513	54	-44	629
600	onum+tnum	0	zero.tosf	513	37	-14	426
600	onum+tnum	1	one.tosf	513	107	-4	419
600	onum+tnum	2	two.tosf	513	54	-4	427
600	onum+tnum	3	three.tosf	513	87	-182	426
600	onum+tnum	4	four.tosf	513	16	-181	432
600	onum+tnum	5	five.tosf	513	107	-181	429
600	onum+tnum	6	six.tosf	513	54	-14	639
600	onum+tnum	7	seven.tosf	513	37	-193	425
600	onum+tnum	8	eight.tosf	513	56	-13	590
600	onum+tnum	9	nine.tosf	513	36	-219	426
600	lnum+pnum	0	zero.lf	558	50	-14	631
600	lnum+pnum	1	one.lf	391	33	-3	636
600	lnum+pnum	2	two.lf	520	40	-4	630
600	lnum+pnum	3	three.lf	473	36	-38	629
600	lnum+pnum	4	four.lf	543	20	-3	642
600	lnum+pnum	5	five.lf	460	40	-38	629
600	lnum+pnum	6	six.lf	510	34	-15	640
600	lnum+pnum	7	seven.lf	526	23	-30	627
600	lnum+pnum	8	eight.lf	524	57	-13	629
600	lnum+pnum	9	nine.lf	523	44	-44	629
600	onum+pnum	0	zero.osf	510	32	-14	426
600	onum+pnum	1	one.osf	321	22	-4	419
600	onum+pnum	2	two.osf	464	26	-4	427
600	onum+pnum	3	three.osf	390	26	-182	426
600	onum+pnum	4	four.osf	518	18	-181	432
600	onum+pnum	5	five.osf	366	37	-181	429
600	onum+pnum	6	six.osf	503	35	-14	639
600	onum+pnum	7	seven.osf	491	21	-193	425
600	onum+pnum	8	eight.osf	486	47	-13	590
600	onum+pnum	9	nine.osf	520	29	-219	426
700	default	0	zero	529	26	-14	631
700	default	1	one	529	96	-3	636
700	default	2	two	529	60	-4	630
700	default	3	three	529	71	-38	629
700	default	4	four	529	21	-3	642
700	default	5	five	529	85	-38	630
700	default	6	six	529	66	-14	639
700	default	7	seven	529	37	-30	628
700	default	8	eight	529	60	-13	629
700	default	9	nine	529	55	-50	629
700	lnum	0	zero	529	26	-14	631
700	lnum	1	one	529	96	-3	636
700	lnum	2	two	529	60	-4	630
700	lnum	3	three	529	71	-38	629
700	lnum	4	four	529	21	-3	642
700	lnum	5	five	529	85	-38	630
700	lnum	6	six	529	66	-14	639
700	lnum	7	seven	529	37	-30	628
700	lnum	8	eight	529	60	-13	629
700	lnum	9	nine	529	55	-50	629
700	tnum	0	zero	529	26	-14	631
700	tnum	1	one	529	96	-3	636
700	tnum	2	two	529	60	-4	630
700	tnum	3	three	529	71	-38	629
700	tnum	4	four	529	21	-3	642
700	tnum	5	five	529	85	-38	630
700	tnum	6	six	529	66	-14	639
700	tnum	7	seven	529	37	-30	628
700	tnum	8	eight	529	60	-13	629
700	tnum	9	nine	529	55	-50	629
700	onum	0	zero.tosf	529	44	-14	432
700	onum	1	one.tosf	529	107	-5	425
700	onum	2	two.tosf	529	52	-4	433
700	onum	3	three.tosf	529	87	-179	432
700	onum	4	four.tosf	529	17	-181	437
700	onum	5	five.tosf	529	108	-178	436
700	onum	6	six.tosf	529	60	-14	639
700	onum	7	seven.tosf	529	40	-193	435
700	onum	8	eight.tosf	529	55	-13	590
700	onum	9	nine.tosf	529	33	-235	432
700	pnum	0	zero.lf	583	51	-14	631
700	pnum	1	one.lf	396	28	-3	636
700	pnum	2	two.lf	528	43	-4	630
700	pnum	3	three.lf	469	34	-38	629
700	pnum	4	four.lf	565	20	-3	642
700	pnum	5	five.lf	450	35	-38	630
700	pnum	6	six.lf	523	35	-14	639
700	pnum	7	seven.lf	546	24	-30	628
700	pnum	8	eight.lf	550	57	-13	629
700	pnum	9	nine.lf	542	45	-50	629
700	lnum+tnum	0	zero	529	26	-14	631
700	lnum+tnum	1	one	529	96	-3	636
700	lnum+tnum	2	two	529	60	-4	630
700	lnum+tnum	3	three	529	71	-38	629
700	lnum+tnum	4	four	529	21	-3	642
700	lnum+tnum	5	five	529	85	-38	630
700	lnum+tnum	6	six	529	66	-14	639
700	lnum+tnum	7	seven	529	37	-30	628
700	lnum+tnum	8	eight	529	60	-13	629
700	lnum+tnum	9	nine	529	55	-50	629
700	onum+tnum	0	zero.tosf	529	44	-14	432
700	onum+tnum	1	one.tosf	529	107	-5	425
700	onum+tnum	2	two.tosf	529	52	-4	433
700	onum+tnum	3	three.tosf	529	87	-179	432
700	onum+tnum	4	four.tosf	529	17	-181	437
700	onum+tnum	5	five.tosf	529	108	-178	436
700	onum+tnum	6	six.tosf	529	60	-14	639
700	onum+tnum	7	seven.tosf	529	40	-193	435
700	onum+tnum	8	eight.tosf	529	55	-13	590
700	onum+tnum	9	nine.tosf	529	33	-235	432
700	lnum+pnum	0	zero.lf	583	51	-14	631
700	lnum+pnum	1	one.lf	396	28	-3	636
700	lnum+pnum	2	two.lf	528	43	-4	630
700	lnum+pnum	3	three.lf	469	34	-38	629
700	lnum+pnum	4	four.lf	565	20	-3	642
700	lnum+pnum	5	five.lf	450	35	-38	630
700	lnum+pnum	6	six.lf	523	35	-14	639
700	lnum+pnum	7	seven.lf	546	24	-30	628
700	lnum+pnum	8	eight.lf	550	57	-13	629
700	lnum+pnum	9	nine.lf	542	45	-50	629
700	onum+pnum	0	zero.osf	512	28	-14	433
700	onum+pnum	1	one.osf	337	21	-5	425
700	onum+pnum	2	two.osf	476	19	-4	433
700	onum+pnum	3	three.osf	398	21	-179	432
700	onum+pnum	4	four.osf	531	17	-181	437
700	onum+pnum	5	five.osf	370	29	-178	436
700	onum+pnum	6	six.osf	510	32	-14	639
700	onum+pnum	7	seven.osf	506	19	-193	435
700	onum+pnum	8	eight.osf	502	43	-13	590
700	onum+pnum	9	nine.osf	546	24	-235	432
800	default	0	zero	540	22	-14	631
800	default	1	one	540	94	-3	636
800	default	2	two	540	66	-4	630
800	default	3	three	540	76	-38	629
800	default	4	four	540	21	-3	642
800	default	5	five	540	87	-38	630
800	default	6	six	540	70	-14	640
800	default	7	seven	540	37	-29	628
800	default	8	eight	540	59	-13	629
800	default	9	nine	540	55	-54	629
800	lnum	0	zero	540	22	-14	631
800	lnum	1	one	540	94	-3	636
800	lnum	2	two	540	66	-4	630
800	lnum	3	three	540	76	-38	629
800	lnum	4	four	540	21	-3	642
800	lnum	5	five	540	87	-38	630
800	lnum	6	six	540	70	-14	640
800	lnum	7	seven	540	37	-29	628
800	lnum	8	eight	540	59	-13	629
800	lnum	9	nine	540	55	-54	629
800	tnum	0	zero	540	22	-14	631
800	tnum	1	one	540	94	-3	636
800	tnum	2	two	540	66	-4	630
800	tnum	3	three	540	76	-38	629
800	tnum	4	four	540	21	-3	642
800	tnum	5	five	540	87	-38	630
800	tnum	6	six	540	70	-14	640
800	tnum	7	seven	540	37	-29	628
800	tnum	8	eight	540	59	-13	629
800	tnum	9	nine	540	55	-54	629
800	onum	0	zero.tosf	540	48	-14	436
800	onum	1	one.tosf	540	107	-5	429
800	onum	2	two.tosf	540	50	-4	437
800	onum	3	three.tosf	540	88	-176	436
800	onum	4	four.tosf	540	17	-181	441
800	onum	5	five.tosf	540	108	-175	440
800	onum	6	six.tosf	540	64	-14	640
800	onum	7	seven.tosf	540	42	-193	441
800	onum	8	eight.tosf	540	53	-13	590
800	onum	9	nine.tosf	540	30	-246	436
800	pnum	0	zero.lf	600	52	-14	631
800	pnum	1	one.lf	399	23	-3	636
800	pnum	2	two.lf	533	44	-4	630
800	pnum	3	three.lf	467	33	-38	629
800	pnum	4	four.lf	579	20	-3	642
800	pnum	5	five.lf	444	31	-38	630
800	pnum	6	six.lf	531	36	-14	640
800	pnum	7	seven.lf	560	25	-29	628
800	pnum	8	eight.lf	567	58	-13	629
800	pnum	9	nine.lf	555	45	-54	629
800	lnum+tnum	0	zero	540	22	-14	631
800	lnum+tnum	1	one	540	94	-3	636
800	lnum+tnum	2	two	540	66	-4	630
800	lnum+tnum	3	three	540	76	-38	629
800	lnum+tnum	4	four	540	21	-3	642
800	lnum+tnum	5	five	540	87	-38	630
800	lnum+tnum	6	six	540	70	-14	640
800	lnum+tnum	7	seven	540	37	-29	628
800	lnum+tnum	8	eight	540	59	-13	629
800	lnum+tnum	9	nine	540	55	-54	629
800	onum+tnum	0	zero.tosf	540	48	-14	436
800	onum+tnum	1	one.tosf	540	107	-5	429
800	onum+tnum	2	two.tosf	540	50	-4	437
800	onum+tnum	3	three.tosf	540	88	-176	436
800	onum+tnum	4	four.tosf	540	17	-181	441
800	onum+tnum	5	five.tosf	540	108	-175	440
800	onum+tnum	6	six.tosf	540	64	-14	640
800	onum+tnum	7	seven.tosf	540	42	-193	441
800	onum+tnum	8	eight.tosf	540	53	-13	590
800	onum+tnum	9	nine.tosf	540	30	-246	436
800	lnum+pnum	0	zero.lf	600	52	-14	631
800	lnum+pnum	1	one.lf	399	23	-3	636
800	lnum+pnum	2	two.lf	533	44	-4	630
800	lnum+pnum	3	three.lf	467	33	-38	629
800	lnum+pnum	4	four.lf	579	20	-3	642
800	lnum+pnum	5	five.lf	444	31	-38	630
800	lnum+pnum	6	six.lf	531	36	-14	640
800	lnum+pnum	7	seven.lf	560	25	-29	628
800	lnum+pnum	8	eight.lf	567	58	-13	629
800	lnum+pnum	9	nine.lf	555	45	-54	629
800	onum+pnum	0	zero.osf	513	25	-14	437
800	onum+pnum	1	one.osf	348	20	-5	429
800	onum+pnum	2	two.osf	484	14	-4	437
800	onum+pnum	3	three.osf	404	18	-176	436
800	onum+pnum	4	four.osf	539	16	-181	441
800	onum+pnum	5	five.osf	372	24	-175	440
800	onum+pnum	6	six.osf	514	30	-14	640
800	onum+pnum	7	seven.osf	516	18	-193	441
800	onum+pnum	8	eight.osf	513	40	-13	590
800	onum+pnum	9	nine.osf	564	20	-246	436
